NOx,NO2,Temperature,Relative_Humidity
76.0,84.0,36.4,21.0
135.0,96.0,3.1,48.1
239.0,81.0,20.2,53.1
187.0,108.0,30.5,24.2
412.0,86.0,20.4,71.6
189.0,93.0,31.1,28.6
614.0,135.0,16.9,50.3
99.0,106.0,26.8,33.5
173.0,116.0,18.5,43.8
582.0,229.0,16.9,42.9
33.0,51.0,26.6,33.0
167.0,116.0,20.4,34.7
467.0,106.0,10.4,80.8
89.0,79.0,21.3,44.7
101.0,82.0,3.2,46.9
289.0,150.0,7.3,43.8
541.0,212.0,18.3,51.0
267.0,120.0,27.9,37.0
196.0,149.0,28.5,27.8
424.0,202.0,8.0,41.3
209.0,101.0,33.8,25.8
692.0,178.0,11.6,64.3
226.0,159.0,36.8,18.0
618.0,150.0,19.0,61.6
374.0,204.0,7.9,28.0
331.0,160.0,8.3,38.5
81.0,90.0,31.9,20.4
143.0,124.0,24.2,35.9
374.0,110.0,5.7,79.3
32.0,49.0,26.0,33.1
122.0,71.0,20.1,47.8
768.0,242.0,11.0,33.8
102.0,80.0,13.6,59.7
59.0,75.0,40.5,23.3
404.0,101.0,20.1,59.6
282.0,96.0,24.9,49.2
278.0,109.0,15.3,54.3
365.0,119.0,27.0,44.2
449.0,159.0,17.0,56.6
346.0,121.0,18.6,49.3
216.0,122.0,2.7,49.4
180.0,120.0,16.5,40.8
426.0,184.0,9.5,34.6
117.0,102.0,30.9,30.3
112.0,129.0,40.4,20.0
110.0,107.0,24.7,47.7
116.0,100.0,7.2,47.8
127.0,56.0,20.4,61.1
141.0,104.0,9.0,37.3
188.0,112.0,1.4,76.3
170.0,74.0,31.0,29.1
604.0,189.0,18.8,58.3
205.0,154.0,22.9,36.5
393.0,172.0,17.7,39.7
280.0,183.0,32.6,28.0
58.0,42.0,20.2,46.7
49.0,62.0,17.1,81.8
147.0,115.0,40.3,15.8
49.0,46.0,10.7,81.5
183.0,128.0,19.2,52.3
267.0,110.0,7.5,71.7
366.0,68.0,20.2,66.6
164.0,108.0,22.8,33.0
47.0,61.0,21.2,37.6
68.0,74.0,19.3,51.4
572.0,141.0,17.4,53.3
90.0,78.0,33.9,36.0
431.0,244.0,4.6,78.2
536.0,165.0,21.6,43.3
264.0,122.0,31.8,27.4
142.0,89.0,9.8,70.7
54.0,64.0,31.5,21.9
71.0,71.0,24.9,50.6
248.0,101.0,21.5,65.8
164.0,112.0,34.6,27.7
90.0,101.0,19.7,33.7
121.0,81.0,6.9,70.0
647.0,185.0,14.7,52.3
138.0,124.0,17.6,35.1
279.0,121.0,17.3,34.5
335.0,204.0,4.8,41.9
315.0,198.0,7.6,47.8
19.0,2.0,15.6,50.0
243.0,134.0,15.3,46.8
56.0,71.0,6.8,62.9
191.0,133.0,4.9,52.2
139.0,84.0,16.3,69.8
102.0,90.0,28.4,23.6
70.0,84.0,19.3,43.0
158.0,120.0,23.0,28.7
45.0,60.0,40.3,12.6
130.0,82.0,19.9,36.6
229.0,114.0,14.5,68.9
161.0,77.0,7.0,77.3
130.0,101.0,25.5,25.6
146.0,112.0,8.3,76.4
228.0,89.0,11.3,70.2
188.0,123.0,17.4,49.1
294.0,166.0,30.2,29.0
350.0,198.0,3.7,33.9
59.0,59.0,14.2,52.2
299.0,128.0,10.3,32.6
220.0,111.0,20.8,50.4
596.0,178.0,17.2,34.2
102.0,103.0,20.1,35.0
525.0,178.0,12.3,41.2
180.0,121.0,16.8,35.3
433.0,246.0,2.9,49.5
339.0,109.0,21.1,70.1
215.0,80.0,17.6,80.5
374.0,126.0,13.0,70.0
93.0,97.0,9.6,61.1
186.0,99.0,3.2,55.7
372.0,141.0,6.6,56.6
419.0,153.0,14.7,56.6
62.0,65.0,8.3,63.6
55.0,22.0,15.5,50.9
56.0,87.0,30.6,28.4
133.0,111.0,26.6,37.9
198.0,120.0,4.5,62.7
192.0,86.0,6.2,82.1
297.0,98.0,28.5,39.4
109.0,103.0,33.3,23.9
113.0,104.0,21.2,31.4
34.0,47.0,14.2,49.9
196.0,107.0,9.5,51.0
781.0,121.0,7.1,84.1
75.0,59.0,10.1,64.5
172.0,113.0,34.3,19.4
344.0,155.0,26.8,28.9
67.0,65.0,3.8,41.0
136.0,107.0,17.4,48.6
46.0,30.0,20.4,71.2
231.0,79.0,18.3,65.5
82.0,74.0,21.8,34.9
650.0,164.0,8.5,57.8
54.0,66.0,39.7,13.5
305.0,131.0,20.4,55.7
47.0,37.0,25.8,64.6
245.0,107.0,25.6,61.2
128.0,94.0,16.8,36.9
108.0,88.0,13.4,61.3
176.0,81.0,20.7,49.7
527.0,138.0,24.2,44.0
70.0,72.0,14.0,43.8
211.0,132.0,22.8,32.1
15.0,23.0,16.5,53.9
61.0,76.0,19.2,42.0
173.0,113.0,12.3,56.0
53.0,64.0,27.6,52.4
100.0,98.0,31.7,21.7
366.0,100.0,27.7,39.2
101.0,85.0,20.6,50.5
162.0,69.0,18.1,72.5
149.0,144.0,39.7,18.7
100.0,83.0,22.8,16.1
285.0,187.0,10.5,27.8
103.0,88.0,9.8,75.0
212.0,111.0,2.7,50.5
87.0,77.0,17.4,35.4
218.0,135.0,14.5,54.4
137.0,95.0,20.5,21.9
202.0,181.0,36.9,27.8
285.0,121.0,13.9,83.6
522.0,137.0,23.8,54.7
264.0,132.0,8.1,49.9
347.0,120.0,10.1,66.2
159.0,68.0,12.8,66.3
162.0,120.0,12.0,38.7
351.0,212.0,8.0,33.3
65.0,69.0,16.4,47.7
248.0,148.0,6.1,66.0
796.0,210.0,11.5,37.5
241.0,108.0,14.9,58.4
77.0,77.0,18.9,42.1
224.0,137.0,3.2,52.4
435.0,141.0,10.6,56.9
240.0,128.0,19.3,41.6
180.0,94.0,11.3,40.3
143.0,135.0,42.2,14.6
351.0,165.0,9.6,67.8
84.0,69.0,11.6,73.8
208.0,108.0,17.6,43.3
115.0,63.0,18.0,34.7
460.0,146.0,17.4,23.3
100.0,97.0,23.4,43.2
147.0,109.0,3.8,46.5
51.0,55.0,32.8,28.9
174.0,64.0,23.1,70.8
310.0,159.0,0.8,36.3
51.0,39.0,11.7,38.1
117.0,86.0,24.2,31.2
235.0,93.0,13.5,78.3
35.0,34.0,5.2,57.2
111.0,102.0,27.1,47.4
95.0,90.0,15.5,51.9
49.0,58.0,33.9,20.3
89.0,86.0,25.2,51.0
253.0,126.0,4.3,55.3
282.0,155.0,11.6,68.3
333.0,108.0,19.6,54.3
64.0,80.0,23.4,38.6
70.0,86.0,24.2,39.5
450.0,98.0,11.7,68.9
476.0,166.0,15.8,48.9
107.0,87.0,21.3,28.1
55.0,66.0,14.9,60.6
394.0,112.0,26.8,49.1
193.0,86.0,11.8,80.7
393.0,210.0,7.4,43.8
12.0,19.0,15.7,45.4
400.0,148.0,13.4,64.5
100.0,99.0,28.2,36.6
149.0,115.0,0.3,53.7
136.0,75.0,20.5,66.9
55.0,54.0,19.9,55.2
119.0,106.0,13.9,64.0
